comments,created_time,id,link,message,reactions_angry,reactions_haha,reactions_like,reactions_love,reactions_sad,reactions_wow,shares,story
0,2017-12-15T04:00:00+0000,146241435387419_1815241228487423,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1815241018487444/?type=3,"That moment when you're finally done with your makeup and you see this mess on your vanity! :P

What can we say…beauty does come with a price - in this case, this mess of shimmer and colour is worth it!

#BobbiBrown #BobbiBrownSG",0,0,62,1,0,0,,
1,2017-12-13T04:00:00+0000,146241435387419_1815240251820854,https://www.facebook.com/bobbibrown.sg/videos/1815240058487540/,"Get your hands on the versatile Shimmer Brick - It's one of our essentials that can help spice up an otherwise plain makeup look. 

#BobbiBrown #BobbiBrownSG",0,0,42,0,0,0,2.0,
0,2017-12-11T04:00:00+0000,146241435387419_1815238505154362,https://www.facebook.com/bobbibrown.sg/videos/1815238251821054/,"Never run out of shades to try with the Mini Luxe Lip set! 

With 10 different shades to wear, You can wear out a different lip every day of the week (and even have some spares)!

#BobbiBrown #BobbiBrownSG",0,0,14,0,0,0,1.0,
2,2017-12-10T04:00:00+0000,146241435387419_1815237331821146,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1815237038487842/?type=3,"A little extra touch of gold doesn't hurt, especially during this festive period! 

The new individual Luxe Eyeshadow cubes don't only look good on your lids, they add a gorgeous flair to your makeup stash too! 

#BobbiBrown #BobbiBrownSG",0,0,118,10,0,2,2.0,
7,2017-12-07T04:00:00+0000,146241435387419_1815236271821252,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1815235995154613/?type=3,"Ladies, can you guess what's housed in the golden cube? 

We'll give you a hint: think lots of glitter and pigment!

#BobbiBrown #BobbiBrownSG",0,0,260,14,0,7,2.0,
0,2017-12-05T04:00:00+0000,146241435387419_1815234361821443,https://www.facebook.com/bobbibrown.sg/videos/1815234275154785/,"Play up your lip colour your way! We get it…some days you might feel like putting on a nude pink lip and on others you just want to wear a bright, cheery red. 

The question is: what shade are you feeling today?

#BobbiBrown #BobbiBrownSG",0,0,4,0,0,0,1.0,
0,2017-11-24T04:00:00+0000,146241435387419_1797127730298773,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1797127600298786/?type=3,"More reasons for more shopping (sans the guilt) with these Black Friday/Cyber Monday deals! Drop by our stores to see what we have up for grabs. 

#BobbiBrown #BobbiBrownSG",0,0,27,1,0,0,,
0,2017-11-22T04:00:00+0000,146241435387419_1787099994634880,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1787099887968224/?type=3,"Looking to impress the woman of your dreams this Christmas? 

Try this top tip: get her a makeup care-pack! That'll help you score extra points for sure!

#BobbiBrown #BobbiBrownSG",0,0,51,4,0,0,3.0,
0,2017-11-20T04:00:00+0000,146241435387419_1797126660298880,https://www.facebook.com/bobbibrown.sg/videos/1797126386965574/,"Wing that wing liner straight out of the park with this mini duo Long-Wear Gel Eyeliner set! 

The set comes with a Mini Ultra Fine Brush as well to help you nail that sharp catliner every time. 

#BobbiBrown #BobbiBrownSG",0,0,3,0,0,0,,
2,2017-11-18T04:00:00+0000,146241435387419_1787098644635015,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1787098544635025/?type=3,"Have you curated your own wishlist yet? 

Let us know what products you're eyeing in the comments below! While you're at it, why not tag a friend to drop a hint? ;)

#BobbiBrown #BobbiBrownSG",0,0,54,2,0,0,8.0,
